online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
Yes,Yes,4.1,484.5,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800.0
Yes,No,4.1,484.5,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800.0
Yes,No,3.8,484.5,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0
No,No,3.7,88.0,Banashankari,Quick Bites,"South Indian, North Indian",300.0
No,No,3.8,166.0,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600.0
Yes,No,3.8,286.0,Basavanagudi,Casual Dining,North Indian,600.0
No,No,3.6,8.0,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0
Yes,Yes,4.5,484.5,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0
Yes,No,4.0,324.0,Banashankari,Cafe,"Cafe, Italian, Continental",700.0
Yes,No,4.2,484.5,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0
Yes,No,4.1,402.0,Banashankari,Cafe,Cafe,500.0
Yes,Yes,4.2,150.0,Banashankari,Cafe,"Cafe, Italian, Continental",600.0
Yes,Yes,4.2,164.0,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500.0
No,No,4.0,424.0,Banashankari,Cafe,"Cafe, Continental",450.0
Yes,No,3.8,484.5,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0
Yes,No,3.8,90.0,Banashankari,Cafe,Cafe,650.0
Yes,No,3.9,133.0,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0
Yes,No,3.8,144.0,Banashankari,Cafe,"Chinese, Cafe, Italian",700.0
No,No,3.9,93.0,Banashankari,Cafe,"Cafe, Italian, American",300.0
Yes,No,3.1,13.0,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400.0
Yes,No,3.0,62.0,Banashankari,Cafe,"Cafe, French, North Indian",400.0
Yes,No,3.7,180.0,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0
No,No,3.6,28.0,Banashankari,Cafe,"Cafe, Fast Food",900.0
Yes,No,3.6,62.0,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0
No,No,3.7,31.0,Banashankari,Cafe,Cafe,300.0
No,No,3.2,11.0,Banashankari,Cafe,"Cafe, Bakery",600.0
Yes,No,3.8,75.0,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200.0
No,No,3.3,4.0,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500.0
No,No,3.3,23.0,Banashankari,Cafe,"Cafe, Fast Food",550.0
No,No,3.8,148.0,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0
Yes,No,4.0,219.0,Basavanagudi,Cafe,"Cafe, Italian",600.0
Yes,No,2.9000000000000004,484.5,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500.0
Yes,No,3.9,35.0,Banashankari,Delivery,"Bakery, Desserts",500.0
Yes,No,3.9,172.0,Banashankari,Delivery,Pizza,750.0
Yes,No,4.2,415.0,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500.0
Yes,No,3.9,230.0,Banashankari,Delivery,Biryani,650.0
Yes,No,2.9000000000000004,91.0,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400.0
Yes,No,4.2,484.5,Banashankari,Casual Dining,"Chinese, Thai, Momos",600.0
Yes,No,4.4,484.5,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0
Yes,No,4.0,17.0,Banashankari,Quick Bites,South Indian,150.0
Yes,No,3.8,133.0,Basavanagudi,Quick Bites,"Street Food, Fast Food",200.0
No,No,3.9,28.0,Banashankari,Mess,South Indian,300.0
Yes,No,3.9,286.0,Banashankari,Quick Bites,"Burger, Fast Food",500.0
Yes,No,3.9,484.5,Banashankari,Quick Bites,"Pizza, Fast Food",800.0
Yes,Yes,4.5,484.5,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0
No,No,3.8,36.0,Banashankari,Delivery,"North Indian, Continental, Italian",400.0
Yes,No,3.6,244.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0
Yes,No,4.0,484.5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0
Yes,No,3.7,484.5,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850.0
Yes,No,3.1,245.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0
No,No,3.7,21.0,Banashankari,Quick Bites,North Indian,450.0
Yes,No,4.1,28.0,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150.0
No,No,4.3,345.0,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400.0
Yes,No,4.0,484.5,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0
No,No,4.0,484.5,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450.0
Yes,No,3.9,484.5,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0
Yes,No,3.8,104.0,Banashankari,Quick Bites,"Biryani, Fast Food",300.0
Yes,Yes,4.2,354.0,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0
No,No,3.6,55.0,Banashankari,Quick Bites,"Fast Food, Burger",200.0
Yes,No,3.7,17.0,Banashankari,Dessert Parlor,"Desserts, Beverages",400.0
No,No,4.2,244.0,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800.0
Yes,Yes,3.6,163.0,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800.0
Yes,No,3.8,58.0,Basavanagudi,Quick Bites,Chinese,150.0
No,Yes,4.0,484.5,Banashankari,Casual Dining,"North Indian, Chinese",850.0
No,No,3.7,78.0,Banashankari,"Bakery, Dessert Parlor",Bakery,150.0
Yes,No,4.1,484.5,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0
Yes,No,3.6,34.0,Jayanagar,Quick Bites,South Indian,100.0
No,No,4.1,484.5,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1175.0
No,No,3.8,39.0,Banashankari,Bakery,"Bakery, Desserts",300.0
Yes,No,3.2,71.0,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600.0
Yes,No,3.6,6.0,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0
No,No,4.1,484.5,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300.0
No,No,3.7,0.0,Banashankari,Quick Bites,North Indian,150.0
No,No,2.9000000000000004,84.0,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700.0
No,No,3.6,299.0,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300.0
No,No,3.7,0.0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500.0
Yes,No,4.1,484.5,Basavanagudi,Quick Bites,South Indian,150.0
Yes,No,3.6,28.0,Banashankari,Quick Bites,"Biryani, South Indian",300.0
No,No,3.7,22.0,Banashankari,Quick Bites,Fast Food,500.0
No,No,3.8,39.0,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350.0
Yes,No,3.8,153.0,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0
Yes,No,4.2,146.0,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0
No,No,3.5,14.0,Banashankari,Sweet Shop,"Mithai, Street Food",200.0
No,No,3.8,42.0,Banashankari,Casual Dining,"North Indian, Chinese",700.0
No,No,3.7,0.0,Banashankari,Quick Bites,"South Indian, Chinese",100.0
No,No,4.0,66.0,Banashankari,Bakery,"Bakery, Desserts",300.0
Yes,No,4.4,484.5,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600.0
No,No,3.5,31.0,Banashankari,Quick Bites,North Indian,200.0
No,No,3.5,7.0,Banashankari,Dessert Parlor,Desserts,500.0
No,No,3.7,21.0,Banashankari,Quick Bites,Biryani,250.0
No,No,3.7,0.0,Banashankari,Delivery,"Bakery, Desserts",500.0
No,No,3.7,0.0,Banashankari,"Takeaway, Delivery",South Indian,400.0
No,No,3.7,0.0,Banashankari,Mess,South Indian,200.0
No,No,3.2,9.0,Banashankari,Dessert Parlor,Ice Cream,300.0
No,No,2.9000000000000004,283.0,Banashankari,Casual Dining,North Indian,600.0
No,No,3.3,62.0,Banashankari,Bar,"South Indian, North Indian, Chinese",800.0
No,No,3.8,64.0,Banashankari,Quick Bites,"Fast Food, Bakery",250.0
No,No,3.7,39.0,Banashankari,Casual Dining,"North Indian, Iranian",950.0
No,No,3.7,65.0,Banashankari,Quick Bites,"Fast Food, Street Food",300.0
Yes,No,3.8,71.0,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0
No,No,3.5,52.0,Banashankari,Quick Bites,South Indian,300.0
No,No,3.7,130.0,Banashankari,Quick Bites,South Indian,200.0
No,No,3.5,10.0,Banashankari,Quick Bites,"South Indian, Biryani",300.0
No,No,3.8,45.0,Banashankari,"Takeaway, Delivery",Bakery,400.0
No,No,3.2,11.0,Banashankari,Cafe,"Cafe, Bakery",600.0
No,No,3.5,13.0,Banashankari,Bakery,"Bakery, Desserts",300.0
No,No,3.4,8.0,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300.0
No,No,3.7,0.0,Banashankari,"Takeaway, Delivery",Beverages,250.0
No,No,3.2,9.0,Banashankari,Quick Bites,Biryani,300.0
No,No,3.2,4.0,Banashankari,Quick Bites,North Indian,300.0
No,No,3.7,0.0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200.0
No,No,3.1,29.0,Banashankari,Quick Bites,North Indian,150.0
No,No,3.4,8.0,Banashankari,Bakery,"Bakery, Desserts",400.0
No,No,3.7,0.0,Banashankari,Dessert Parlor,Mithai,150.0
No,No,3.7,0.0,Banashankari,Bakery,Bakery,300.0
No,No,3.7,0.0,Banashankari,Quick Bites,"North Indian, Street Food",200.0
No,No,3.7,0.0,Banashankari,"Takeaway, Delivery",South Indian,150.0
No,No,3.7,0.0,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",150.0
No,No,3.7,0.0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",250.0
No,No,3.1,30.0,Banashankari,Bar,"Chinese, North Indian",1000.0
Yes,No,4.1,201.0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0
No,No,3.3,7.0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200.0
No,No,3.1,6.0,Banashankari,Quick Bites,"Fast Food, South Indian",100.0
No,No,3.3,17.0,Banashankari,Quick Bites,"Street Food, Fast Food",200.0
No,No,2.9000000000000004,25.0,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200.0
No,No,3.7,0.0,Banashankari,Delivery,"South Indian, North Indian, Continental",400.0
No,No,3.7,0.0,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350.0
No,No,3.3,8.0,Banashankari,Delivery,South Indian,100.0
No,No,3.7,0.0,Banashankari,Quick Bites,"Rolls, North Indian",150.0
No,No,3.7,0.0,Banashankari,Quick Bites,South Indian,150.0
No,No,3.7,0.0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200.0
No,No,3.7,0.0,Banashankari,Quick Bites,North Indian,100.0
No,No,3.7,0.0,Banashankari,Quick Bites,"Biryani, Fast Food",400.0
No,No,3.7,0.0,Banashankari,Beverage Shop,"Beverages, Juices",200.0
No,No,3.7,0.0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150.0
No,No,3.7,0.0,Banashankari,"Takeaway, Delivery",South Indian,400.0
No,No,3.7,0.0,Banashankari,Quick Bites,"South Indian, Chinese",150.0
No,No,3.7,0.0,Banashankari,Quick Bites,Andhra,250.0
No,No,3.7,0.0,Banashankari,Quick Bites,Biryani,250.0
No,No,3.7,0.0,Banashankari,Quick Bites,"South Indian, Biryani",150.0
No,No,3.7,0.0,Banashankari,Confectionery,Desserts,200.0
